type,ConditionDisplay,guide,Cas9,condition,Raw1,Raw2,Raw3,Norm1,Norm2,Norm3,
HACE,AID-BLM-UGI,With Guide,Yes,DC333-DC203-DC332,79166.297,85657.852,83791.18,78987.524,85479.079,83612.407,
HACE,AID-Ns3h-UGI,With Guide,Yes,DC334-DC203-DC332,68467.773,68056.828,70055.836,68289,67878.055,69877.063,
HACE,AID-PcrA-UGI,With Guide,Yes,DC335-DC203-DC332,80677.742,77404.102,82230.984,80498.969,77225.329,82052.211,
HACE,AID-PcrA M6-UGI,With Guide,Yes,pBO101-DC203-DC332,44688.629,47467.738,49285.652,44509.856,47288.965,49106.879,
Helicase,BLM-UGI,With Guide,Yes,DC584-DC203-DC332,79403.117,81297.641,78219.031,79224.344,81118.868,78040.258,
Helicase,Ns3h-UGI,With Guide,Yes,DC585-DC203-DC332,55157.305,53018.988,52280.684,54978.532,52840.215,52101.911,
Helicase,PcrA-UGI,With Guide,Yes,DC586-DC203-DC332,73956.336,74910.57,70348.375,73777.563,74731.797,70169.602,
Helicase,PcrA M6-UGI,With Guide,Yes,DC587-DC203-DC332,73677.727,70640.906,69080.711,73498.954,70462.133,68901.938,
AID,AID,With Guide,Yes,DC583-DC332-DC203,72305.594,69582.203,70397.125,72126.821,69403.43,70218.352,
Compare,DddA-nCas9,With Guide,No,xpBO14-DC203,75927.484,71838.922,77229.977,75748.711,71660.149,77051.204,
HACE,AID-BLM-UGI,Without Guide,No,DC333,83268.789,76735.445,88353.375,83090.016,76556.672,88174.602,
HACE,AID-Ns3h-UGI,Without Guide,No,DC334,62428.957,61948.359,68746.383,62250.184,61769.586,68567.61,
HACE,AID-PcrA-UGI,Without Guide,No,DC335,70021.008,79897.641,83582.227,69842.235,79718.868,83403.454,
HACE,AID-PcrA M6-UGI,Without Guide,No,pBO101,43170.219,49689.633,54906.559,42991.446,49510.86,54727.786,
Helicase,BLM-UGI,Without Guide,No,DC584,73176.234,73872.758,82042.922,72997.461,73693.985,81864.149,
Helicase,Ns3h-UGI,Without Guide,No,DC585,46966.246,46931.418,53144.367,46787.473,46752.645,52965.594,
Helicase,PcrA-UGI,Without Guide,No,DC586,75969.281,73893.648,77195.148,75790.508,73714.875,77016.375,
Helicase,PcrA M6-UGI,Without Guide,No,DC586,72821.016,72904.594,79451.875,72642.243,72725.821,79273.102,
AID,AID,Without Guide,No,DC583,71386.18,72702.609,76512.563,71207.407,72523.836,76333.79,
Compare,DddA-nCas9,Without Guide,No,xpBO14,74234.945,77689.68,75049.875,74056.172,77510.907,74871.102,
Compare,AID-nCas9-UGI,With Guide,No,pBO77-DC203,78520.344,80662.5,81555.648,78341.571,80483.727,81376.875,
control,nCas9,With Guide,Yes,DC332-DC203,82434.852,78827.367,83830.391,82256.079,78648.594,83651.618,
Compare,BE4max,With Guide,No,xpBO9-DC203,81471.922,78527.32,79148.344,81293.149,78348.547,78969.571,
Helicase,BLM,With Guide,No,DC650-DC203,79992.641,78743.633,85623.672,79813.868,78564.86,85444.899,
Helicase,Ns3h,With Guide,No,DC651-DC203,12217.997,11324.849,11576.047,12039.224,11146.076,11397.274,
Helicase,PcrA,With Guide,No,DC652-DC203,79266.961,77041.062,78506.391,79088.188,76862.289,78327.618,
Helicase,PcrA M6,With Guide,No,DC653-DC203,27596.904,25475.674,24701.146,27418.131,25296.901,24522.373,
control,pUC19,Without Guide,No,pUC19,80474.109,76099.07,78352.875,80295.336,75920.297,78174.102,78129.91167
Compare,AID-nCas9-UGI,Without Guide,No,pBO77,74787.258,91261.672,89552.125,74608.485,91082.899,89373.352,
control,nCas9,Without Guide,Yes,DC332,65911.594,90577.852,89663.773,65732.821,90399.079,89485,
Compare,BE4max,Without Guide,No,xpBO9,69128.328,79783.313,84918.914,68949.555,79604.54,84740.141,
Helicase,BLM,Without Guide,No,DC650,65185.91,79811.227,86251.664,65007.137,79632.454,86072.891,
Helicase,Ns3h,Without Guide,No,DC651,7403.367,9552.506,9043.132,7224.594,9373.733,8864.359,
Helicase,PcrA,Without Guide,No,DC652,61515.629,77027.109,81869.648,61336.856,76848.336,81690.875,
Helicase,PcrA M6,Without Guide,No,DC653,20381.936,24624.393,26606.068,20203.163,24445.62,26427.295,
control,NA,With Guide,No,DC203,76538.672,77480.664,83516.398,76359.899,77301.891,83337.625,
